pci,distance_ft,jammer_dist_ft,dl_cqi,dl_ri,dl_mcs,dl_brate,dl_ok,dl_nok,dl_percent,dl_bs,ul_pusch,ul_rsrp,ul_ri,ul_mcs,ul_brate,ul_ok,ul_nok,ul_percent,ul_bsr,ul_ta,ul_phr
1,5,15,6,1,5,184,1,0,0,0,27.3,-2.5,1,27,12000,2,0,0,0,325,-7
1,5,15,6,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,329,-7
1,5,15,6,1,5,184,1,0,0,0,28.2,-2.5,1,27,12000,2,0,0,0,332,-7
1,5,15,6,1,7,224,1,0,0,0,n/a,n/a,1,0,0,0,0,0,0,291,-7
1,5,15,6,1,5,184,1,0,0,0,n/a,n/a,1,0,0,0,0,0,0,296,-7
1,5,15,6,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,321,-7
1,5,15,6,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,333,-7
1,5,15,6,1,5,736,4,0,0,0,n/a,n/a,1,0,0,0,0,0,0,251,-7
1,5,15,6,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,332,-7
1,5,15,6,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,338,-7
1,5,15,6,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,319,-7
1,5,15,7,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,319,-7
1,5,15,7,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,332,-7
1,5,15,7,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,339,-7
1,5,15,7,1,6,424,2,0,0,0,n/a,n/a,1,0,0,0,0,0,0,330,-7
1,5,15,7,1,7,480,2,0,0,0,n/a,n/a,1,0,0,0,0,0,0,340,-7
1,5,15,8,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,349,-7
1,5,15,7,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,327,-7
1,5,15,6,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,320,-7
1,5,15,7,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,332,-7
1,5,15,7,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,334,-7
1,5,15,6,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,322,-7
1,5,15,6,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,309,-7
1,5,15,6,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,287,-7
1,5,15,7,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,293,-7
1,5,15,7,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,304,-7
1,5,15,7,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,318,-7
1,5,15,9,1,0,0,0,0,0,0,28.1,-3.1,1,27,4900,1,0,0,0,299,-6
1,5,15,10,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,312,-6
1,5,15,9,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,310,-6
1,5,15,8,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,287,-6
1,5,15,9,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,293,-6
1,5,15,9,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,301,-6
1,5,15,9,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,312,-6
1,5,15,9,1,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,314,-6
