pci,distance_ft,jammer_dist_ft,dl_cqi,dl_ri,dl_mcs,dl_brate,dl_ok,dl_nok,dl_percent,dl_bs,ul_pusch,ul_rsrp,ul_ri,ul_mcs,ul_brate,ul_ok,ul_nok,ul_percent,ul_bsr,ul_ta,ul_phr
1,35,1,9,1.0,7,1800,7,42,85,0,30.9,-8.8,1,27,4900,1,0,0,0,382,-12
1,40,1,6,1.0,1,80,2,0,0,0,n/a,n/a,1,0,0,0,0,0,0,191,-18
1,35,1,9,1.0,8,784,3,4,57,0,n/a,n/a,1,0,0,0,0,0,0,169,-12
1,40,1,6,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,178,-18
1,35,1,9,1.0,0,0,0,0,0,0,32.0,-7.0,1,27,4900,1,0,0,0,168,-11
1,40,1,5,1.0,0,48,2,0,0,0,n/a,n/a,1,0,0,0,0,0,0,192,-18
1,35,1,8,1.0,6,0,0,10,100,0,32.1,-6.9,1,27,4900,1,0,0,0,160,-11
1,40,1,4,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,203,-18
1,35,1,9,1.0,5,0,0,5,100,0,n/a,n/a,1,0,0,0,0,0,0,151,-11
1,40,1,3,1.0,0,48,2,0,0,0,n/a,n/a,1,0,0,0,0,0,0,221,-18
1,35,1,10,1.0,9,304,1,12,92,0,n/a,n/a,1,0,0,0,0,0,0,174,-11
1,40,1,6,1.0,0,0,0,0,0,0,12.0,-29.0,1,7,4200,1,0,0,0,184,-19
1,35,1,10,1.0,0,0,0,0,0,0,31.5,-7.1,1,27,15000,3,0,0,0,345,-11
1,40,1,6,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,189,-19
1,35,1,10,1.0,0,0,0,0,0,0,30.8,-6.6,1,27,9700,2,0,0,0,353,-11
1,40,1,6,1.0,0,0,0,0,0,0,15.4,-28.4,1,6,8400,2,0,0,0,221,-19
1,35,1,9,1.0,0,0,0,0,0,0,31.5,-6.4,1,27,4900,1,0,0,0,349,-11
1,40,1,6,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,248,-19
1,35,1,9,1.0,0,0,0,0,0,0,31.4,-6.3,1,27,4900,1,0,0,0,346,-14
1,40,1,6,1.0,1,520,2,0,0,0,14.6,-28.0,1,7,8400,2,0,0,0,257,-21
1,35,1,10,1.0,9,2300,7,22,75,0,n/a,n/a,1,0,0,0,0,0,0,277,-14
1,40,1,5,1.0,1,200,5,1,16,0,n/a,n/a,1,0,0,0,0,0,0,232,-21
1,35,1,10,1.0,11,0,0,10,100,0,31.1,-6.4,1,27,4900,1,0,0,0,131,-9
1,40,1,6,1.0,1,304,8,0,0,0,n/a,n/a,1,0,0,0,0,0,0,244,-21
1,35,1,11,1.0,8,1200,4,8,66,0,32.1,-6.2,1,27,4900,1,0,0,0,151,-10
1,40,1,6,1.0,1,248,7,0,0,0,n/a,n/a,1,0,0,0,0,0,0,221,-21
1,35,1,10,1.0,0,0,0,0,0,0,31.5,-7.0,1,27,4900,1,0,0,0,128,-11
1,40,1,6,1.0,1,208,6,0,0,0,16.7,-27.2,1,7,4200,1,0,0,0,165,-20
1,35,1,10,1.0,0,0,0,0,0,0,32.0,-6.9,1,27,4900,1,0,0,0,162,-11
1,40,1,6,1.0,1,608,5,0,0,0,16.9,-27.7,1,9,8200,2,0,0,0,134,-18
1,35,1,10,1.0,9,304,1,2,66,0,31.8,-7.3,1,27,4900,1,0,0,0,156,-16
1,40,1,6,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,201,-18
1,35,1,9,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,324,-16
1,40,1,6,1.0,0,0,0,0,0,0,17.2,-26.0,1,10,8400,2,0,0,0,181,-18
1,35,1,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,342,-16
