pci,distance_ft,jammer_dist_ft,dl_cqi,dl_ri,dl_mcs,dl_brate,dl_ok,dl_nok,dl_percent,dl_bs,ul_pusch,ul_rsrp,ul_ri,ul_mcs,ul_brate,ul_ok,ul_nok,ul_percent,ul_bsr,ul_ta,ul_phr
1,10,15,15,1.0,8,238,1,0,0,0,27.4,-74.9,1,27,4900,2,0,0,0,335,-10
1,5,15,14,1.0,9,197,1,0,0,0,27.6,-69.2,1,27,12000,1,0,0,0,342,-7
1,10,15,14,1.0,6,203,1,0,0,0,27.6,-71.1,1,27,4900,1,0,0,0,301,-10
1,5,15,15,1.0,14,390,1,0,0,0,27.1,-75.3,1,27,4900,1,0,0,0,311,-7
1,10,15,n/a,1.0,0,0,0,0,0,0,28.7,-76.6,1,27,4900,1,0,0,0,329,-10
1,5,15,13,1.0,9,170,1,0,0,0,n/a,n/a,1,0,0,0,0,0,0,357,-7
1,10,15,15,1.0,5,173,1,0,0,0,27.1,-68.3,1,27,12000,1,0,0,0,347,-10
1,5,15,n/a,1.0,7,218,1,0,0,0,28.6,-77.9,1,27,4900,2,0,0,0,305,-7
1,10,15,15,1.0,8,202,1,0,0,0,28.4,-74.4,1,27,12000,2,0,0,0,343,-10
1,5,15,n/a,1.0,7,223,1,0,0,0,27.8,-73.6,1,27,4900,1,0,0,0,316,-7
1,10,15,15,1.0,14,381,1,0,0,0,27.5,-70.9,1,27,12000,2,0,0,0,329,-10
1,5,15,n/a,1.0,5,229,1,0,0,0,n/a,n/a,1,0,0,0,0,0,0,310,-7
1,10,15,11,1.0,6,193,1,0,0,0,27.0,-77.3,1,27,12000,2,0,0,0,317,-10
1,5,15,n/a,1.0,7,249,1,0,0,0,27.8,-76.3,1,27,4900,1,0,0,0,295,-7
1,10,15,15,1.0,9,185,1,0,0,0,28.7,-73.8,1,27,12000,2,0,0,0,330,-10
1,5,15,n/a,1.0,0,0,0,0,0,0,28.9,-70.1,1,27,4900,1,0,0,0,352,-7
1,10,15,8,1.0,9,152,1,0,0,0,n/a,n/a,1,0,0,0,0,0,0,349,-10
1,5,15,15,1.0,5,175,1,0,0,0,28.9,-72.6,1,27,4900,2,0,0,0,357,-7
1,10,15,10,1.0,7,243,1,0,0,0,28.1,-75.9,1,27,12000,2,0,0,0,347,-10
1,5,15,8,1.0,6,238,1,0,0,0,27.5,-70.4,1,27,12000,2,0,0,0,301,-7
1,10,15,15,1.0,7,249,1,0,0,0,28.9,-71.4,1,27,4900,1,0,0,0,355,-10
1,5,15,15,1.0,14,330,1,0,0,0,28.0,-68.9,1,27,12000,1,0,0,0,310,-7
1,10,15,15,1.0,6,167,1,0,0,0,28.8,-70.3,1,27,4900,1,0,0,0,359,-10
1,5,15,15,1.0,5,186,1,0,0,0,n/a,n/a,1,0,0,0,0,0,0,316,-7
1,10,15,10,1.0,5,158,1,0,0,0,28.6,-70.9,1,27,12000,2,0,0,0,307,-10
1,5,15,n/a,1.0,6,207,1,0,0,0,28.3,-75.4,1,27,4900,2,0,0,0,345,-7
1,10,15,n/a,1.0,0,0,0,0,0,0,27.4,-74.1,1,27,4900,2,0,0,0,355,-10
1,5,15,14,1.0,7,217,1,0,0,0,27.3,-72.2,1,27,12000,1,0,0,0,342,-7
1,10,15,15,1.0,6,238,1,0,0,0,28.8,-74.3,1,27,12000,1,0,0,0,349,-10
1,5,15,15,1.0,6,176,1,0,0,0,28.2,-71.2,1,27,4900,2,0,0,0,310,-7
1,10,15,8,1.0,6,190,1,0,0,0,27.6,-73.1,1,27,12000,2,0,0,0,329,-10
1,5,15,8,1.0,5,182,1,0,0,0,n/a,n/a,1,0,0,0,0,0,0,305,-7
1,10,15,15,1.0,14,316,1,0,0,0,27.1,-68.4,1,27,12000,2,0,0,0,359,-10
1,5,15,7,1.0,8,188,1,0,0,0,28.5,-71.6,1,27,4900,2,0,0,0,315,-7
1,10,15,15,1.0,6,221,1,0,0,0,27.5,-75.0,1,27,4900,1,0,0,0,327,-10
1,5,15,n/a,1.0,9,159,1,0,0,0,27.0,-77.2,1,27,12000,1,0,0,0,309,-7
1,10,15,15,1.0,7,233,1,0,0,0,28.8,-75.9,1,27,4900,2,0,0,0,320,-10
1,5,15,n/a,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,330,-7
1,10,15,15,1.0,5,215,1,0,0,0,27.8,-73.3,1,27,4900,1,0,0,0,341,-10
1,5,15,9,1.0,7,159,1,0,0,0,27.6,-71.0,1,27,12000,2,0,0,0,355,-7
1,10,15,15,1.0,7,187,1,0,0,0,28.9,-69.2,1,27,4900,2,0,0,0,305,-10
1,5,15,n/a,1.0,7,232,1,0,0,0,28.3,-69.1,1,27,12000,1,0,0,0,302,-7
1,10,15,6,1.0,8,225,1,0,0,0,27.9,-74.7,1,27,4900,2,0,0,0,310,-10
1,5,15,7,1.0,7,180,1,0,0,0,n/a,n/a,1,0,0,0,0,0,0,318,-7
1,10,15,15,1.0,12,467,1,0,0,0,27.1,-72.6,1,27,12000,1,0,0,0,343,-10
1,5,15,7,1.0,9,189,1,0,0,0,28.2,-71.3,1,27,12000,1,0,0,0,347,-7
1,10,15,15,1.0,6,226,1,0,0,0,28.1,-71.2,1,27,4900,1,0,0,0,357,-10
1,5,15,15,1.0,9,245,1,0,0,0,27.1,-77.5,1,27,4900,1,0,0,0,329,-7
1,10,15,15,1.0,7,156,1,0,0,0,27.5,-73.8,1,27,12000,1,0,0,0,354,-10
1,5,15,7,1.0,7,196,1,0,0,0,n/a,n/a,1,0,0,0,0,0,0,334,-7
1,10,15,n/a,1.0,0,0,0,0,0,0,27.6,-75.9,1,27,12000,2,0,0,0,341,-10
1,5,15,8,1.0,7,166,1,0,0,0,28.4,-72.3,1,27,12000,2,0,0,0,343,-7
1,10,15,7,1.0,7,223,1,0,0,0,28.7,-71.7,1,27,4900,2,0,0,0,335,-10
1,5,15,10,1.0,7,165,1,0,0,0,28.4,-74.9,1,27,4900,2,0,0,0,312,-7
1,10,15,8,1.0,8,155,1,0,0,0,n/a,n/a,1,0,0,0,0,0,0,311,-10
1,5,15,13,1.0,8,225,1,0,0,0,27.6,-74.1,1,27,12000,1,0,0,0,306,-7
1,10,15,15,1.0,14,390,1,0,0,0,27.7,-73.9,1,27,12000,2,0,0,0,355,-10
1,5,15,7,1.0,6,203,1,0,0,0,27.4,-73.6,1,27,4900,2,0,0,0,295,-7
1,10,15,7,1.0,7,152,1,0,0,0,27.2,-69.2,1,27,12000,1,0,0,0,311,-10
1,5,15,n/a,1.0,6,189,1,0,0,0,28.7,-74.4,1,27,4900,1,0,0,0,342,-7
1,10,15,8,1.0,6,248,1,0,0,0,27.1,-75.8,1,27,12000,2,0,0,0,293,-10
1,5,15,7,1.0,6,238,1,0,0,0,n/a,n/a,1,0,0,0,0,0,0,331,-7
1,10,15,n/a,1.0,0,0,0,0,0,0,28.4,-71.1,1,27,12000,1,0,0,0,344,-10
1,5,15,15,1.0,7,189,1,0,0,0,28.7,-71.2,1,27,12000,2,0,0,0,356,-7
1,10,15,10,1.0,6,167,1,0,0,0,28.9,-71.9,1,27,4900,1,0,0,0,316,-10
1,5,15,15,1.0,7,217,1,0,0,0,27.6,-69.8,1,27,4900,1,0,0,0,332,-7
1,10,15,n/a,1.0,7,223,1,0,0,0,28.7,-76.8,1,27,12000,2,0,0,0,314,-10
1,5,15,15,1.0,14,326,1,0,0,0,28.1,-74.7,1,27,4900,2,0,0,0,304,-7
1,10,15,7,1.0,7,152,1,0,0,0,n/a,n/a,1,0,0,0,0,0,0,329,-10
1,5,15,3,1.0,5,173,1,0,0,0,28.0,-77.4,1,27,4900,2,0,0,0,309,-7
1,10,15,7,1.0,5,169,1,0,0,0,28.9,-71.5,1,27,12000,2,0,0,0,336,-10
1,5,15,15,1.0,9,159,1,0,0,0,27.1,-71.3,1,27,12000,2,0,0,0,354,-7
1,10,15,15,1.0,9,169,1,0,0,0,27.4,-74.4,1,27,4900,2,0,0,0,297,-10
1,5,15,15,1.0,6,239,1,0,0,0,27.4,-74.9,1,27,4900,2,0,0,0,355,-7
1,10,15,8,1.0,7,196,1,0,0,0,n/a,n/a,1,0,0,0,0,0,0,314,-10
1,5,15,n/a,1.0,0,0,0,0,0,0,27.3,-72.0,1,27,12000,2,0,0,0,326,-7
1,10,15,14,1.0,9,152,1,0,0,0,27.7,-75.0,1,27,4900,2,0,0,0,347,-10
1,5,15,n/a,1.0,8,225,1,0,0,0,28.6,-75.9,1,27,4900,1,0,0,0,355,-7
1,10,15,15,1.0,6,204,1,0,0,0,28.4,-70.7,1,27,12000,1,0,0,0,331,-10
1,5,15,15,1.0,6,190,1,0,0,0,28.2,-72.3,1,27,4900,1,0,0,0,303,-7
1,10,15,15,1.0,11,486,1,0,0,0,27.8,-77.5,1,27,12000,1,0,0,0,328,-10
1,5,15,7,1.0,7,217,1,0,0,0,n/a,n/a,1,0,0,0,0,0,0,326,-7
1,10,15,8,1.0,9,161,1,0,0,0,27.6,-71.2,1,27,12000,1,0,0,0,335,-10
1,5,15,14,1.0,7,223,1,0,0,0,28.9,-71.4,1,27,4900,1,0,0,0,314,-7
1,10,15,7,1.0,7,205,1,0,0,0,28.3,-74.3,1,27,4900,1,0,0,0,342,-10
1,5,15,7,1.0,8,196,1,0,0,0,27.4,-70.9,1,27,12000,2,0,0,0,346,-7
1,10,15,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,297,-10
1,5,15,n/a,1.0,8,230,1,0,0,0,28.7,-76.6,1,27,4900,2,0,0,0,312,-7
1,10,15,8,1.0,5,173,1,0,0,0,27.1,-71.8,1,27,12000,2,0,0,0,355,-10
1,5,15,7,1.0,9,245,1,0,0,0,28.7,-71.7,1,27,4900,2,0,0,0,354,-7
1,10,15,15,1.0,6,207,1,0,0,0,27.3,-75.3,1,27,4900,1,0,0,0,354,-10
1,5,15,14,1.0,8,202,1,0,0,0,27.0,-73.6,1,27,12000,1,0,0,0,301,-7
1,10,15,7,1.0,5,215,1,0,0,0,28.5,-70.2,1,27,4900,1,0,0,0,339,-10
1,5,15,7,1.0,9,152,1,0,0,0,n/a,n/a,1,0,0,0,0,0,0,342,-7
1,10,15,15,1.0,14,344,1,0,0,0,27.7,-72.0,1,27,12000,1,0,0,0,335,-10
1,5,15,14,1.0,9,169,1,0,0,0,28.8,-76.3,1,27,4900,1,0,0,0,343,-7
1,10,15,7,1.0,9,193,1,0,0,0,28.3,-69.2,1,27,4900,1,0,0,0,355,-10
1,5,15,15,1.0,6,185,1,0,0,0,28.8,-73.0,1,27,12000,2,0,0,0,317,-7
1,10,15,n/a,1.0,7,173,1,0,0,0,28.8,-70.9,1,27,4900,1,0,0,0,301,-10
1,5,15,7,1.0,5,173,1,0,0,0,28.0,-77.7,1,27,4900,1,0,0,0,306,-7
1,10,15,15,1.0,7,243,1,0,0,0,n/a,n/a,1,0,0,0,0,0,0,317,-10
1,5,15,n/a,1.0,0,0,0,0,0,0,28.8,-69.4,1,27,12000,2,0,0,0,329,-7
1,10,15,15,1.0,8,158,1,0,0,0,27.4,-74.9,1,27,4900,1,0,0,0,342,-10
1,5,15,7,1.0,5,168,1,0,0,0,27.1,-76.3,1,27,4900,1,0,0,0,308,-7
1,10,15,8,1.0,8,225,1,0,0,0,27.2,-71.2,1,27,12000,1,0,0,0,349,-10
1,5,15,15,1.0,5,215,1,0,0,0,27.8,-72.6,1,27,4900,1,0,0,0,316,-7
1,10,15,15,1.0,6,202,1,0,0,0,27.1,-72.2,1,27,12000,2,0,0,0,326,-10
1,5,15,8,1.0,7,222,1,0,0,0,n/a,n/a,1,0,0,0,0,0,0,333,-7
1,10,15,15,1.0,10,408,1,0,0,0,27.4,-75.9,1,27,4900,2,0,0,0,344,-10
