pci,distance_ft,dl_cqi,dl_ri,dl_mcs,dl_brate,dl_ok,dl_nok,dl_percent,dl_bs,ul_pusch,ul_rsrp,ul_ri,ul_mcs,ul_brate,ul_ok,ul_nok,ul_percent,ul_bsr,ul_ta,ul_phr
1,10,15,1.0,20,59000,74,8,9,0,9.1,-49.2,1,13,2500000,991,9,0,700000,486,n/a
1,10,15,1.0,20,59000,74,10,11,0,9.1,-49.1,1,13,2400000,989,12,1,700000,489,n/a
1,10,15,1.0,20,60000,75,9,10,0,9.2,-49.1,1,13,2500000,991,9,0,700000,487,n/a
1,10,15,1.0,20,58000,73,13,15,0,9.1,-49.1,1,13,2500000,988,12,1,700000,486,n/a
1,10,15,1.0,20,60000,75,11,12,0,9.2,-49.1,1,13,2500000,992,7,0,700000,489,n/a
1,10,15,1.0,20,59000,74,14,15,0,9.2,-49.1,1,13,2500000,988,13,1,700000,491,n/a
1,10,15,1.0,20,60000,75,12,13,0,9.2,-49.1,1,13,2500000,992,8,0,700000,487,n/a
1,10,15,1.0,20,59000,74,11,12,0,9.1,-49.1,1,13,2500000,992,7,0,700000,485,n/a
1,10,15,1.0,20,60000,75,9,10,0,9.2,-49.1,1,13,2500000,985,15,1,700000,488,n/a
1,10,15,1.0,20,59000,74,14,15,0,9.1,-49.1,1,13,2500000,996,4,0,700000,485,n/a
1,10,15,1.0,20,59000,74,11,12,0,9.1,-49.1,1,13,2500000,988,12,1,700000,489,n/a
1,10,15,1.0,20,60000,76,11,12,0,9.1,-49.1,1,13,2500000,990,11,1,700000,488,n/a
1,10,15,1.0,20,59000,74,14,15,0,9.2,-49.1,1,13,2500000,990,9,0,700000,484,n/a
1,10,15,1.0,20,59000,74,10,11,0,9.1,-49.1,1,13,2500000,987,13,1,700000,488,n/a
1,10,15,1.0,20,60000,75,9,10,0,9.2,-49.1,1,13,2500000,992,9,0,700000,486,n/a
1,10,15,1.0,20,59000,74,10,11,0,9.1,-49.1,1,13,2500000,990,9,0,700000,489,n/a
1,10,15,1.0,20,59000,74,11,12,0,9.2,-49.1,1,13,2500000,989,12,1,700000,488,n/a
1,10,15,1.0,20,60000,75,9,10,0,9.2,-49.1,1,13,2500000,990,9,0,700000,485,n/a
1,10,15,1.0,20,60000,75,12,13,0,9.1,-49.1,1,13,2500000,992,8,0,700000,485,n/a
1,10,15,1.0,20,59000,74,13,14,0,9.2,-49.1,1,13,2500000,990,10,1,700000,481,n/a
1,10,15,1.0,20,60000,75,11,12,3,9.2,-49.1,1,13,2500000,991,9,0,700000,488,n/a
1,10,15,1.0,20,59000,74,17,18,0,9.1,-49.1,1,13,2500000,990,10,1,700000,486,n/a
1,10,15,1.0,20,60000,75,10,11,0,9.2,-49.1,1,13,2500000,992,9,0,700000,488,n/a
1,10,15,1.0,20,58000,74,12,13,0,9.1,-49.1,1,13,2500000,987,12,1,700000,489,n/a
1,10,15,1.0,20,59000,74,5,6,0,9.2,-49.1,1,13,2500000,989,11,1,700000,487,n/a
1,10,15,1.0,20,59000,74,16,17,0,9.2,-49.1,1,13,2500000,989,11,1,700000,490,n/a
1,10,15,1.0,20,60000,75,11,12,0,9.2,-49.1,1,13,2500000,991,10,0,700000,487,n/a
1,10,15,1.0,20,50000,63,18,22,0,5.9,-51.6,1,11,1900000,827,157,15,700000,430,n/a
1,10,15,1.0,20,58000,72,9,11,0,9.2,-49.1,1,9,1800000,1000,0,0,700000,485,n/a
1,10,15,1.0,20,58000,72,11,13,0,9.2,-49.1,1,10,2000000,1000,0,0,700000,482,n/a
1,10,15,1.0,20,58000,73,16,17,0,9.2,-49.1,1,12,2200000,999,1,0,700000,491,n/a
1,10,15,1.0,22,57000,62,32,34,0,9.2,-49.0,1,13,1800000,759,12,1,700000,490,n/a
1,10,15,1.0,20,61000,76,8,9,0,9.2,-50.1,1,13,2500000,998,2,0,700000,489,n/a
1,10,15,1.0,20,59000,74,5,6,0,9.2,-50.1,1,13,2500000,990,10,1,700000,490,n/a
1,10,15,1.0,20,59000,74,16,17,0,9.2,-50.1,1,13,2500000,989,11,1,700000,486,n/a
1,10,15,1.0,20,60000,75,7,8,0,9.2,-52.0,1,13,2500000,991,9,0,700000,489,n/a
1,10,15,1.0,20,58000,74,7,8,0,9.3,-55.0,1,13,2500000,991,9,0,700000,491,n/a
1,10,15,1.0,20,60000,75,8,9,0,9.2,-54.1,1,13,2500000,991,10,0,700000,487,n/a
1,10,15,1.0,20,60000,75,6,7,0,9.2,-55.1,1,13,2500000,987,12,1,700000,488,n/a
1,10,15,1.0,20,58000,73,6,7,0,9.2,-56.1,1,13,2400000,989,12,1,700000,490,n/a
1,10,15,1.0,20,60000,75,9,10,0,9.2,-59.1,1,13,2500000,992,8,0,700000,489,n/a
1,10,15,1.0,20,52000,66,21,24,0,6.0,-52.5,1,9,1500000,760,130,14,700000,425,n/a
1,10,15,1.0,20,60000,75,9,10,0,9.2,-59.1,1,13,2500000,992,8,0,700000,489,n/a
1,10,15,1.0,20,52000,66,21,24,0,6.0,-50.5,1,9,1500000,760,130,14,700000,425,n/a
1,10,15,1.0,20,60000,75,3,3,0,9.2,-49.1,1,13,2500000,991,8,0,700000,492,n/a
1,10,15,1.0,20,59000,74,9,10,0,9.2,-50.1,1,13,2500000,990,11,1,700000,488,n/a
1,10,15,1.0,20,59000,75,7,8,0,9.2,-51.0,1,13,2500000,993,7,0,700000,488,n/a
1,10,15,1.0,20,60000,75,6,7,0,9.2,-50.1,1,13,2500000,989,10,1,700000,489,n/a
1,10,15,1.0,20,59000,74,14,15,3,9.2,-49.1,1,13,2500000,987,14,1,700000,486,n/a
1,10,15,1.0,20,59000,74,3,3,0,9.2,-50.1,1,13,2500000,991,9,0,700000,487,n/a
1,10,15,1.0,20,60000,75,11,12,0,9.2,-49.1,1,13,2500000,988,11,1,700000,489,n/a
1,10,15,1.0,20,59000,74,5,6,0,9.2,-48.1,1,13,2500000,993,8,0,700000,489,n/a
1,10,15,1.0,20,59000,74,3,3,0,9.2,-47.1,1,13,2500000,988,11,1,700000,490,n/a
1,10,15,1.0,20,60000,75,8,9,0,9.2,-49.1,1,13,2500000,992,9,0,700000,489,n/a
1,10,15,1.0,20,58000,74,8,9,0,9.2,-49.1,1,13,2500000,988,12,1,700000,490,n/a
1,10,15,1.0,20,60000,75,5,6,0,9.2,-49.1,1,13,2500000,990,9,0,700000,494,n/a
1,10,15,1.0,20,59000,74,10,11,0,9.2,-49.1,1,13,2500000,985,15,1,700000,490,n/a
1,10,15,1.0,20,59000,74,5,6,0,9.2,-49.1,1,13,2500000,996,4,0,700000,493,n/a
1,10,15,1.0,20,60000,75,8,9,0,9.2,-49.1,1,13,2500000,991,10,0,700000,493,n/a
1,10,15,1.0,20,58000,73,5,6,0,9.2,-49.1,1,13,2500000,989,10,1,700000,490,n/a
1,10,15,1.0,20,60000,76,9,10,0,9.2,-49.1,1,13,2500000,990,11,1,700000,491,n/a
1,10,15,1.0,20,59000,74,14,15,0,9.2,-49.1,1,13,2400000,986,13,1,700000,488,n/a
1,10,15,1.0,20,59000,74,11,12,0,9.2,-49.1,1,13,2400000,990,10,1,700000,489,n/a
1,10,15,1.0,20,59000,74,5,6,0,9.2,-49.1,1,13,2500000,994,7,0,700000,491,n/a
1,10,15,1.0,20,60000,75,8,9,0,9.2,-49.1,1,13,2500000,990,10,1,700000,490,n/a
1,10,15,1.0,20,60000,75,6,7,0,9.2,-49.1,1,13,2500000,988,11,1,700000,492,n/a
1,10,15,1.0,20,59000,74,9,10,0,9.2,-49.1,1,13,2500000,988,13,1,700000,490,n/a
1,10,15,1.0,20,60000,75,14,15,0,9.2,-49.1,1,13,2500000,994,5,0,700000,493,n/a
1,10,15,1.0,20,59000,74,9,10,0,9.2,-49.1,1,13,2500000,987,13,1,700000,489,n/a
1,10,15,1.0,20,37000,47,7,12,0,-1.5,-57.1,1,9,1600000,621,363,36,700000,321,n/a
1,10,15,1.0,15,12000,16,7,30,0,9.2,-47.7,1,19,20000,13,10,43,0,534,n/a
1,10,15,1.0,24,7800,7,5,41,0,11.9,-46.4,1,21,7700,6,10,62,0,298,n/a
1,10,15,1.0,24,21000,19,20,51,0,9.4,-48.9,1,13,435000,185,9,4,108000,481,n/a
1,10,15,1.0,20,62000,76,10,11,0,9.2,-49.1,1,13,2400000,998,3,0,700000,490,n/a
1,10,15,1.0,20,59000,74,9,10,0,9.2,-49.0,1,13,2500000,991,8,0,700000,487,n/a
1,10,15,1.0,20,59000,74,6,7,0,9.2,-49.1,1,13,2500000,994,6,0,700000,483,n/a
1,10,15,1.0,20,60000,75,6,7,0,9.2,-49.0,1,13,2500000,987,14,1,700000,486,n/a
1,10,15,1.0,20,60000,75,2,2,0,9.2,-49.1,1,13,2500000,988,12,1,700000,484,n/a
1,10,15,1.0,20,59000,74,9,10,0,9.3,-49.0,1,13,2500000,993,7,0,700000,492,n/a
1,10,15,1.0,20,60000,75,11,12,0,9.2,-49.0,1,13,2500000,991,8,0,700000,485,n/a
1,10,15,1.0,20,59000,74,3,3,0,9.2,-49.0,1,13,2500000,988,13,1,700000,490,n/a
1,10,15,1.0,20,60000,75,9,10,0,9.2,-49.0,1,13,2500000,991,9,0,700000,487,n/a
1,10,15,1.0,20,59000,74,4,5,0,9.2,-49.1,1,13,2500000,987,13,1,700000,489,n/a
1,10,15,1.0,20,60000,75,7,8,0,9.2,-49.0,1,13,2500000,993,7,0,700000,487,n/a
1,10,15,1.0,20,58000,73,9,10,0,9.2,-49.0,1,13,2500000,986,14,1,700000,491,n/a
1,10,15,1.0,20,59000,75,9,10,0,9.2,-49.1,1,13,2500000,992,8,0,700000,486,n/a
1,10,15,1.0,20,60000,75,6,7,0,9.2,-49.0,1,13,2500000,990,9,0,700000,488,n/a
1,10,15,1.0,20,59000,74,6,7,0,9.2,-49.0,1,13,2500000,990,10,1,700000,485,n/a
1,10,15,1.0,20,60000,75,6,7,0,9.2,-49.0,1,13,2600000,995,6,0,700000,485,n/a
1,10,15,1.0,20,59000,74,3,3,0,9.2,-49.1,1,13,2500000,982,17,1,700000,489,n/a
1,10,15,1.0,20,59000,74,14,15,3,9.3,-49.0,1,13,2500000,993,8,0,700000,491,n/a
1,10,15,1.0,20,60000,75,8,9,0,9.2,-49.0,1,13,2500000,992,8,0,700000,485,n/a
1,10,15,1.0,20,60000,75,8,9,0,9.2,-49.0,1,13,2500000,988,11,1,700000,484,n/a
1,10,15,1.0,20,59000,74,6,7,0,9.2,-49.1,1,13,2500000,994,7,0,700000,487,n/a
1,10,15,1.0,20,60000,75,7,8,0,9.2,-49.1,1,13,2500000,990,10,1,700000,483,n/a
1,10,15,1.0,20,59000,74,9,10,0,9.2,-49.1,1,13,2500000,987,13,1,700000,492,n/a
1,10,15,1.0,20,60000,75,10,11,0,9.2,-49.1,1,13,2500000,989,10,1,700000,485,n/a
1,10,15,1.0,20,59000,74,9,10,0,9.2,-49.0,1,13,2500000,993,8,0,700000,480,n/a
1,10,15,1.0,20,60000,75,10,11,0,9.2,-49.1,1,13,2500000,988,11,1,700000,488,n/a
1,10,15,1.0,20,59000,74,10,11,0,9.2,-49.1,1,13,2500000,990,11,1,700000,489,n/a
1,10,15,1.0,20,60000,75,9,10,0,9.2,-49.1,1,13,2500000,987,12,1,700000,482,n/a
1,10,15,1.0,20,59000,74,4,5,0,9.2,-49.1,1,13,2500000,993,7,0,700000,486,n/a
1,10,15,1.0,20,59000,74,7,8,0,9.2,-49.0,1,13,2500000,993,8,0,700000,484,n/a
1,10,15,1.0,20,60000,75,12,13,0,9.2,-49.0,1,13,2500000,985,14,1,700000,488,n/a
1,10,15,1.0,20,60000,75,5,6,0,9.2,-49.1,1,13,2500000,993,7,0,700000,485,n/a
1,10,15,1.0,20,59000,74,11,12,0,9.2,-49.0,1,13,2500000,989,11,1,700000,491,n/a
1,10,15,1.0,20,59000,74,7,8,0,9.2,-49.1,1,13,2500000,991,10,0,700000,486,n/a
1,10,15,1.0,20,59000,74,10,11,0,9.2,-49.0,1,13,2500000,987,13,1,700000,489,n/a
1,10,15,1.0,20,60000,75,8,9,0,9.2,-49.1,1,13,2500000,989,10,1,700000,489,n/a
1,10,15,1.0,20,59000,74,6,7,0,9.2,-49.1,1,13,2500000,988,12,1,700000,490,n/a
1,10,15,1.0,20,59000,74,6,7,0,9.2,-49.1,1,13,2500000,994,6,0,700000,488,n/a
1,10,15,1.0,20,60000,75,8,9,0,9.2,-49.1,1,13,2500000,993,7,0,700000,489,n/a
1,10,15,1.0,20,59000,74,7,8,0,9.2,-49.0,1,13,2500000,989,11,1,700000,487,n/a
1,10,15,1.0,20,60000,75,4,5,0,9.2,-49.1,1,13,2500000,992,9,0,700000,489,n/a
1,10,15,1.0,20,59000,74,7,8,0,9.2,-49.1,1,13,2500000,989,11,1,700000,488,n/a
1,10,15,1.0,20,60000,75,11,12,0,9.2,-49.0,1,13,2500000,988,11,1,700000,491,n/a
1,10,15,1.0,20,59000,75,8,9,0,9.2,-49.1,1,13,2500000,990,10,1,700000,486,n/a
1,10,15,1.0,20,59000,74,10,11,0,9.2,-49.1,1,13,2500000,992,9,0,700000,492,n/a
1,10,15,1.0,20,60000,75,6,7,0,9.2,-49.0,1,13,2500000,990,9,0,700000,482,n/a
