pci,distance_ft,dl_cqi,dl_ri,dl_mcs,dl_brate,dl_ok,dl_nok,dl_percent,dl_bs,ul_pusch,ul_rsrp,ul_ri,ul_mcs,ul_brate,ul_ok,ul_nok,ul_percent,ul_bsr,ul_ta,ul_phr
1,35,12,1.0,15,72000,21,22,51,0,26.9,-5.3,1,26,84000,10,0,0,0,253,-4
1,35,9,1.0,10,60000,40,6,13,0,31.6,-4.4,1,27,75000,14,0,0,0,194,-3
1,35,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,239,-3
1,35,10,1.0,12,3000,3,5,62,0,31.0,-6.0,1,27,4900,1,0,0,0,219,-5
1,35,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,216,-5
1,35,11,1.0,13,384,1,7,87,0,n/a,n/a,1,0,0,0,0,0,0,345,-5
1,35,11,1.0,10,39000,28,16,36,3,30.5,-6.0,1,27,111000,17,0,0,0,335,-2
1,35,10,1.0,8,3100,5,2,28,0,31.3,-5.9,1,27,15000,3,0,0,0,353,-2
1,35,9,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,348,-2
1,35,9,1.0,7,1900,8,2,20,0,n/a,n/a,1,0,0,0,0,0,0,301,-2
1,35,9,1.0,7,2300,10,8,44,0,n/a,n/a,1,0,0,0,0,0,0,279,-2
1,35,8,1.0,5,920,5,0,0,0,31.0,-10.6,1,27,4900,1,0,0,0,382,-4
1,35,7,1.0,3,416,4,2,33,0,n/a,n/a,1,0,0,0,0,0,0,216,-4
1,35,11,1.0,8,840,3,20,86,0,n/a,n/a,1,0,0,0,0,0,0,284,-4
1,35,11,1.0,11,704,2,13,86,0,n/a,n/a,1,0,0,0,0,0,0,312,-4
1,35,9,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,344,-4
1,35,6,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,350,-4
1,35,7,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,344,-4
1,35,8,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,326,-4
1,35,8,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,283,-4
1,35,8,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,282,-4
1,35,9,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,276,-4
1,35,9,1.0,8,240,1,1,50,0,31.1,-6.5,1,27,4900,1,0,0,0,309,-9
1,35,7,1.0,6,24000,28,4,12,3,28.7,-12.8,1,27,69000,15,3,16,0,285,-16
1,35,7,1.0,1,19000,21,0,0,0,22.8,-23.5,1,24,51000,10,6,37,0,320,-13
1,35,4,1.0,0,152,5,0,0,0,n/a,n/a,1,0,0,0,0,0,0,293,-13
1,35,5,1.0,0,120,3,3,50,0,30.4,-11.0,1,27,9700,2,0,0,0,357,-13
1,35,6,1.0,2,776,11,10,47,0,29.9,-14.1,1,27,34000,7,0,0,0,376,-16
1,35,5,1.0,1,416,8,2,20,0,28.8,-18.7,1,27,24000,5,0,0,0,264,-15
1,35,6,1.0,1,216,5,0,0,0,27.7,-19.0,1,27,15000,3,1,25,0,312,-13
1,35,5,1.0,0,248,5,0,0,0,27.9,-17.7,1,27,24000,5,0,0,0,290,-4
1,35,5,1.0,1,96,2,2,50,0,30.8,-9.7,1,27,9700,2,0,0,0,380,-11
1,35,7,1.0,3,856,9,6,40,0,30.4,-12.7,1,27,4900,1,0,0,0,107,-7
1,35,7,1.0,1,160,4,0,0,0,n/a,n/a,1,0,0,0,0,0,0,312,-7
1,35,6,1.0,0,0,0,0,0,0,29.4,-12.7,1,27,4900,1,0,0,0,315,-7
1,35,7,1.0,4,288,2,0,0,0,30.8,-8.9,1,27,4900,1,0,0,0,362,-9
1,35,9,1.0,5,1200,6,1,14,0,n/a,n/a,1,0,0,0,0,0,0,295,-9
1,35,8,1.0,5,1100,6,2,25,0,n/a,n/a,1,0,0,0,0,0,0,273,-9
1,35,7,1.0,6,1700,9,9,50,0,n/a,n/a,1,0,0,0,0,0,0,278,-9
1,35,7,1.0,6,752,4,2,33,0,n/a,n/a,1,0,0,0,0,0,0,327,-9
1,35,8,1.0,3,104,1,0,0,0,29.4,-14.4,1,27,9700,2,0,0,0,319,-8
1,35,9,1.0,6,256,2,12,85,0,30.8,-11.6,1,27,15000,3,0,0,0,311,-4
1,35,7,1.0,6,344,2,2,50,0,30.8,-8.8,1,27,4900,1,0,0,0,303,-4
1,35,7,1.0,3,440,6,2,25,0,27.4,-17.2,1,27,9700,2,1,33,0,302,-5
1,35,9,1.0,9,920,3,56,94,0,31.2,-9.4,1,27,34000,7,0,0,0,153,-7
1,35,10,1.0,11,1300,4,40,90,0,30.9,-9.8,1,27,24000,5,0,0,0,202,-3
1,35,9,1.0,7,240,1,1,50,0,30.9,-9.1,1,27,9700,2,0,0,0,361,-3
1,35,9,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,319,-3
1,35,9,1.0,0,0,0,0,0,0,30.2,-13.1,1,27,4900,1,0,0,0,291,-3
1,40,11,1.0,15,9100,14,8,36,0,25.4,-13.0,1,23,18000,4,0,0,0,119,-3
1,40,6,1.0,7,720,3,2,40,0,29.7,-14.7,1,27,9700,2,0,0,0,355,-18
1,40,6,1.0,7,240,1,1,50,3,27.5,-19.1,1,27,9700,2,0,0,0,345,-19
1,40,6,1.0,5,352,2,1,33,0,26.2,-21.1,1,27,9700,2,1,33,0,369,-21
1,40,4,1.0,3,432,5,3,37,0,28.0,-18.5,1,27,4900,1,0,0,0,393,-17
1,40,4,1.0,2,72,1,0,0,0,29.9,-13.6,1,27,4900,1,0,0,0,359,-14
1,40,4,1.0,0,0,0,0,0,0,30.8,-11.2,1,27,4900,1,0,0,0,161,-14
1,40,5,1.0,3,0,0,12,100,0,30.6,-12.4,1,27,4900,1,0,0,0,207,-11
1,40,5,1.0,0,72,1,0,0,0,n/a,n/a,1,0,0,0,0,0,0,345,-11
1,40,8,1.0,8,0,0,10,100,0,n/a,n/a,1,0,0,0,0,0,0,262,-11
1,40,n/a,n/a,5,176,1,24,96,0,n/a,n/a,1,0,0,0,0,0,0,-131,-11
1,40,n/a,n/a,5,0,0,8,100,0,n/a,n/a,1,0,0,0,0,0,0,1,-11
1,40,n/a,n/a,5,0,0,5,100,0,n/a,n/a,1,0,0,0,0,0,0,-39,-11
1,40,n/a,n/a,5,0,0,10,100,10,-25.5,-63.7,1,27,0,0,5,100,0,246,-11
