ue1_distance_ft,ue2_distance_ft,gain_db,amp,amp_bandwidth,jammer_gnb_distance_ft,pci,ue_identifier,dl_cqi,dl_ri,dl_mcs,dl_brate,dl_ok,dl_nok,dl_percent,dl_bs,ul_pusch,ul_rsrp,ul_ri,ul_mcs,ul_brate,ul_ok,ul_nok,ul_percent,ul_bsr,ul_ta,ul_phr
20,30,60,1.2,,1,1,ue2,13,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,174,-10
20,30,60,1.2,,1,1,ue2,9,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,349,-2
20,30,60,1.2,,1,1,ue2,13,1.0,15,504,1,1,50,0,n/a,n/a,1,0,0,0,0,0,0,177,-10
20,30,60,1.2,,1,1,ue2,10,1.0,0,0,0,0,0,0,29.8,-9.7,1,27,4900.0,1,0,0,0,317,-3
20,30,60,1.2,,1,1,ue2,13,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,341,-10
20,30,60,1.2,,1,1,ue2,9,1.0,0,0,0,0,0,0,30.7,-9.6,1,27,4900.0,1,0,0,0,303,-3
20,30,60,1.2,,1,1,ue2,12,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,341,-10
20,30,60,1.2,,1,1,ue2,9,1.0,7,960,4,0,0,0,n/a,n/a,1,0,0,0,0,0,0,327,-3
20,30,60,1.2,,1,1,ue2,13,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,345,-10
20,30,60,1.2,,1,1,ue2,10,1.0,9,3000.0,10,2,16,0,30.0,-10.1,1,27,9700.0,2,0,0,0,368,-2
20,30,60,1.2,,1,1,ue2,13,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,353,-10
20,30,60,1.2,,1,1,ue2,11,1.0,14,3200000.0,191,7,3,0,27.6,-11.7,1,26,248000.0,30,10,25,535,318,0
20,30,60,1.2,,1,1,ue2,13,1.0,13,1600.0,4,1,20,0,n/a,n/a,1,0,0,0,0,0,0,342,-10
20,30,60,1.2,,1,1,ue2,12,1.0,13,2000000.0,120,4,3,0,27.4,-12.7,1,26,227000.0,17,6,26,0,327,-3
20,30,60,1.2,,1,1,ue2,11,1.0,11,3100.0,9,11,55,0,n/a,n/a,1,0,0,0,0,0,0,255,-10
20,30,60,1.2,,1,1,ue2,9,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,290,-3
20,30,60,1.2,,1,1,ue2,12,1.0,12,2500.0,6,3,33,0,n/a,n/a,1,0,0,0,0,0,0,201,-10
20,30,60,1.2,,1,1,ue2,9,1.0,0,0,0,0,0,0,27.5,-9.7,1,27,9600.0,2,2,50,0,305,-3
20,30,60,1.2,,1,1,ue2,13,1.0,15,3900.0,8,4,33,0,n/a,n/a,1,0,0,0,0,0,0,206,-10
20,30,60,1.2,,1,1,ue2,10,1.0,0,0,0,0,0,0,30.7,-9.5,1,27,4900.0,1,0,0,0,289,-2
20,30,60,1.2,,1,1,ue2,13,1.0,15,984,2,1,33,0,n/a,n/a,1,0,0,0,0,0,0,177,-10
20,30,60,1.2,,1,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,315,-2
20,30,60,1.2,,1,1,ue2,13,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,168,-10
20,30,60,1.2,,1,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,318,-2
20,30,60,1.2,,1,1,ue2,13,1.0,14,456,1,1,50,0,n/a,n/a,1,0,0,0,0,0,0,309,-10
20,30,60,1.2,,1,1,ue2,10,1.0,0,0,0,0,0,0,30.0,-9.8,1,27,9700.0,2,0,0,0,321,-3
20,30,60,1.2,,1,1,ue2,12,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,330,-10
20,30,60,1.2,,1,1,ue2,9,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,352,-3
20,30,60,1.2,,1,1,ue2,13,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,340,-10
20,30,60,1.2,,1,1,ue2,9,1.0,9,304,1,0,0,0,29.7,-10.4,1,27,12000.0,2,0,0,0,356,-4
