ue1_distance_ft,ue2_distance_ft,gain_db,amp,amp_bandwidth,jammer_gnb_distance_ft,pci,ue_identifier,dl_cqi,dl_ri,dl_mcs,dl_brate,dl_ok,dl_nok,dl_percent,dl_bs,ul_pusch,ul_rsrp,ul_ri,ul_mcs,ul_brate,ul_ok,ul_nok,ul_percent,ul_bsr,ul_ta,ul_phr
1,10,,,,,1,ue2,15,1.0,0,0,0,0,0,0,3.4,ovl,1,1,1700.0,1,0,0,0,225,4
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,13,1.0,11,5900.0,8,1,11,0,29.6,-3.1,1,24,23000.0,5,0,0,0,215,2
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,213,4
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,12,1.0,0,0,0,0,0,0,32.9,-2.2,1,27,4900.0,1,0,0,0,265,2
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,221,4
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,13,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,273,2
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,15,1.0,0,0,0,0,0,0,3.7,ovl,1,1,2900.0,2,0,0,0,229,3
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,13,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,266,2
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,203,3
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,14,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,262,2
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,212,3
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,13,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,248,2
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,220,3
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,13,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,253,2
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,15,1.0,0,0,0,0,0,0,3.6,ovl,1,0,2300.0,2,0,0,0,215,4
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,12,1.0,0,0,0,0,0,0,33.2,-1.3,1,27,9700.0,2,0,0,0,260,1
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,234,4
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,12,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,272,1
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,221,4
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,12,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,260,1
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,15,1.0,0,0,0,0,0,0,3.9,ovl,1,1,1700.0,1,0,0,0,199,4
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,249,1
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,224,4
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,12,1.0,20,2700.0,4,1,20,0,30.5,-15.7,1,27,4900.0,1,0,0,0,297,9
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,15,1.0,0,0,0,0,0,0,3.6,ovl,1,1,3500.0,2,0,0,0,229,4
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,12,1.0,20,1300.0,2,1,33,0,24.2,-24.4,1,27,9700.0,2,2,50,0,329,11
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,15,1.0,0,0,0,0,0,0,3.4,ovl,1,0,2300.0,2,0,0,0,222,4
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,13,1.0,22,2900.0,4,0,0,0,n/a,n/a,1,0,0,0,0,0,0,288,11
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,211,4
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,13,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,250,11
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,15,1.0,0,0,0,0,0,0,3.8,ovl,1,1,2900.0,2,0,0,0,200,4
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,13,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,229,11
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,199,4
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,213,11
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,15,1.0,0,0,0,0,0,0,3.8,ovl,1,1,1700.0,1,0,0,0,226,3
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,244,11
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,15,1.0,0,0,0,0,0,0,3.9,ovl,1,1,1700.0,1,0,0,0,222,5
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,11,1.0,0,0,0,0,0,0,31.1,ovl,1,27,4900.0,1,0,0,0,274,-8
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,212,5
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,,,,1,ue2,11,1.0,0,0,0,0,0,0,32.3,ovl,1,27,4900.0,1,0,0,0,248,-4
1,10,,,,,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
